route_key,final_seatcount
2025-01-10_44_46,2516.762674513423
2025-01-30_03_47,1602.4342815207115
2025-02-25_15_46,1221.241779727168
2025-02-13_19_32,2221.5829457776586
2025-02-04_47_46,1820.8572364083138
2025-01-04_47_06,1408.1849869311839
2025-02-06_01_02,1138.8873930502375
2025-01-25_28_45,1701.7895188465618
2025-02-22_47_03,1777.8045081503428
2025-02-05_36_22,1017.3999897501371
2025-02-11_02_14,1171.3611706826596
2025-01-05_43_47,2381.0129076432813
2025-02-04_25_23,851.8385107648566
2025-01-07_41_36,2459.3559207447
2025-02-12_46_18,1383.7445212269274
2025-02-20_47_05,3056.7196036753426
2025-02-14_35_46,1671.8190383377475
2025-01-03_45_46,4385.373338682495
2025-01-17_47_03,1526.2996573321482
2025-02-23_03_47,3068.1053653387535
2025-01-20_09_46,5869.037008362695
2025-01-13_46_44,4969.781110342991
2025-02-13_28_45,1654.9439037250138
2025-02-05_47_46,1630.4153234792575
2025-01-18_45_09,2928.9372594246993
2025-02-24_36_27,1337.9320976529064
2025-01-28_13_23,1981.6890750296243
2025-02-01_23_13,2474.1864541588416
2025-01-03_28_45,1200.5495408864592
2025-02-06_46_18,1802.797659283078
2025-01-05_45_28,1944.0269712379782
2025-01-31_46_26,1849.902229819638
2025-01-18_46_15,1501.6580474887892
2025-02-18_28_47,2421.9811572637614
2025-02-12_12_36,1803.6910132477876
2025-01-30_38_36,980.0782876005795
2025-01-20_46_48,3091.5860080892976
2025-02-07_39_45,1324.3981441166038
2025-02-20_46_26,1582.1725917913575
2025-01-15_02_19,1993.5253939054785
2025-02-06_42_45,1316.5121053035352
2025-01-02_48_45,2257.573260212464
2025-01-19_03_47,4694.640901963669
2025-01-21_47_30,1467.275849130645
2025-01-17_30_02,1900.4992969213024
2025-02-19_21_02,1101.6285448821518
2025-01-08_45_47,4351.312082009187
2025-01-11_47_46,2980.8688357486003
2025-01-22_46_47,1502.0439333672355
2025-01-22_18_46,1319.169798113833
2025-02-28_18_46,1647.4398562884053
2025-01-17_17_23,1201.3866351395086
2025-02-11_26_46,1556.956115276073
2025-02-02_02_40,3037.748658534768
2025-01-11_47_30,2324.922045870029
2025-02-12_47_06,1298.298650134537
2025-01-03_35_46,1579.9703655563628
2025-02-10_15_46,2176.986903987775
2025-02-07_36_27,1599.2692684762817
2025-02-01_46_20,2070.791862267626
2025-01-12_46_20,2369.5448792736347
2025-02-21_21_02,1183.4057063003427
2025-02-18_47_06,1260.5630428643376
2025-02-13_45_05,2501.6595118403184
2025-02-17_46_45,4860.93766472309
2025-01-03_13_23,1694.6488261218003
2025-02-05_48_45,1409.2080571803515
2025-01-07_47_05,3018.621190348267
2025-02-05_02_21,1350.3223529764991
2025-01-07_44_46,1420.943833285453
2025-02-26_14_30,1671.9550966642953
2025-02-10_45_42,1551.1055074155083
2025-02-02_46_44,3362.2062425959375
2025-02-17_38_36,2197.874982676238
2025-02-16_46_09,5753.702114261359
2025-02-21_32_19,2089.591519122484
2025-02-15_47_43,3073.099541619217
2025-02-26_34_45,1616.1534344993
2025-01-28_47_28,1229.0089252612797
2025-01-21_45_46,3582.074142869202
2025-02-16_30_14,1471.828116085835
2025-02-24_03_45,1876.7818872073858
2025-02-04_12_36,1878.2069952170611
2025-01-20_43_47,4671.475912147703
2025-02-04_48_45,1753.5655164634147
2025-01-22_27_36,1143.6129859065995
2025-02-03_47_06,1212.5079849840731
2025-01-23_46_09,4400.4089189638535
2025-02-14_03_45,1375.8633353845971
2025-02-15_36_12,2454.8542690902414
2025-02-03_41_36,2933.463523857221
2025-01-12_13_23,2516.0906259361914
2025-02-05_02_16,1296.6263860711013
2025-02-07_05_45,1474.4689304819265
2025-02-17_36_11,2500.510574981845
2025-01-15_46_15,1457.944404461206
2025-02-02_33_46,3784.6398688294807
2025-02-07_47_02,2164.739960158586
2025-02-04_48_46,3258.654426653725
2025-01-06_47_02,1714.3021745710046
2025-01-01_07_36,2641.4067880312637
2025-01-20_36_41,3403.1167172715627
2025-02-15_03_47,1531.0576716863254
2025-01-22_03_47,1430.452608103095
2025-01-13_36_37,1238.7613924030675
2025-02-18_32_19,1548.1606220083709
2025-01-23_02_19,2027.0928211611654
2025-01-15_47_46,1973.7888301380424
2025-02-26_05_45,1472.3402346280102
2025-01-18_45_34,1473.1568323285912
2025-01-21_21_02,1144.9799173616561
2025-01-14_21_02,1141.4495931259767
2025-02-04_46_47,1516.953319170829
2025-02-22_41_36,3113.8159272781286
2025-02-25_46_44,2821.30511700835
2025-01-03_41_36,4132.942659282569
2025-01-13_07_36,1758.6523912163445
2025-01-25_47_08,1114.3762610706115
2025-02-23_47_08,1835.7771983750495
2025-02-07_47_08,2248.6679386226433
2025-02-09_46_09,5320.9764769416715
2025-01-25_47_06,1121.341478239982
2025-01-28_46_33,643.7065453612828
2025-01-19_46_47,2464.8859711993664
2025-02-18_19_02,1841.647042986074
2025-02-14_46_45,4774.130552162261
2025-01-13_15_46,1529.474933741291
2025-02-01_48_46,5568.878715998922
2025-02-19_47_28,2093.037898028817
2025-01-10_09_45,3425.8858335895175
2025-02-11_46_26,1537.5746063293996
2025-01-18_02_14,1458.5473777101863
2025-01-31_22_36,1506.8907686753496
2025-01-07_45_46,3161.93953349367
2025-01-02_46_48,3585.7469985560742
2025-01-15_21_02,1132.5659442935707
2025-02-28_02_14,1791.369639224354
2025-01-11_47_03,4902.158805813534
2025-02-28_02_21,1673.2956432269043
2025-02-01_34_45,1674.7820041346554
2025-01-07_09_45,3024.9219704027664
2025-02-19_03_45,1297.688013438634
2025-01-13_05_45,1907.270627410154
2025-02-10_02_24,1062.8996642154093
2025-01-21_45_03,933.120576020672
2025-01-08_46_44,2858.3417155044685
2025-02-20_03_47,1470.7222169436488
2025-02-16_34_45,3726.3313305055513
2025-02-14_20_46,1333.4258849934477
2025-02-02_45_34,1557.5282040991228
2025-02-13_47_46,2255.2894783423762
2025-01-14_45_03,1164.5241214645437
2025-01-23_09_46,3845.720624636217
2025-02-14_02_24,1649.0137784231058
2025-02-10_02_47,1971.033186278885
2025-02-04_46_35,1333.3284294188738
2025-02-24_01_02,1412.6658670275453
2025-02-17_17_23,1534.0370504754917
2025-02-15_09_46,4915.219721791487
2025-02-16_23_13,1778.2936699584445
2025-01-28_37_36,707.8531015065643
2025-02-19_15_46,1046.3843532115511
2025-01-05_39_45,3161.358013254278
2025-01-01_02_31,2215.4403282660596
2025-02-04_47_05,2021.2151787160908
2025-01-22_45_05,1325.0959406010948
2025-02-16_19_30,2363.8780926103504
2025-02-11_46_47,1525.9995263733895
2025-01-16_28_47,2635.7593171994217
2025-01-25_19_30,1845.3441992906967
2025-02-21_19_32,2596.7482445880323
2025-01-26_46_47,2028.3766146481569
2025-01-05_30_14,1368.6150778303452
2025-01-30_26_46,1467.7762582027408
2025-02-13_45_47,5219.6700519758015
2025-01-21_43_47,3290.2215718904977
2025-02-12_47_02,1449.5346764220592
2025-01-21_47_45,3462.3266144698814
2025-01-11_45_44,2323.965640048038
2025-01-17_30_14,1743.8018575774418
2025-01-02_46_33,1829.6149640032684
2025-01-08_47_02,1429.5556510960384
2025-01-14_36_11,1297.189256479334
2025-02-22_46_09,4587.903856365704
2025-02-05_36_27,1555.1672023406006
2025-01-17_01_02,1263.772870317999
2025-02-27_17_23,1057.7484786257612
2025-02-26_45_03,1467.5164826756395
2025-02-27_26_46,1549.8740692973363
2025-02-18_04_29,1176.6425657945592
2025-02-11_36_37,7014.101805905625
2025-01-06_12_36,2242.71963132696
2025-01-20_01_02,1495.219214094912
2025-02-16_46_48,4040.0533124590647
2025-01-23_45_47,3814.0244343589698
2025-01-27_02_01,1286.5540184800877
2025-02-12_08_47,1295.5264516944926
2025-01-11_02_01,1378.7543008201408
2025-01-14_45_46,3663.066922669229
2025-01-09_16_02,1256.9766867211554
2025-01-21_02_01,1255.4100437752447
2025-01-16_33_46,2985.961939345108
2025-02-05_44_46,1580.977853312001
2025-01-12_23_25,1208.9502271545985
2025-02-09_09_45,4880.361613571306
2025-01-02_13_23,2237.851635047085
2025-01-03_46_18,1474.335502844234
2025-02-14_36_27,1863.6118348324396
2025-01-09_46_35,4466.977038092237
2025-01-08_25_23,1062.2864932612586
2025-01-30_16_02,1138.5412629546377
2025-01-07_02_47,1630.0179064758718
2025-01-04_45_05,1826.8324051262298
2025-01-03_47_30,1803.0100041061796
2025-01-17_40_02,1993.8552439868208
2025-02-23_36_27,1483.0078492654145
2025-02-02_02_01,1533.963838097265
2025-02-10_48_46,5680.608655322574
2025-01-10_46_18,4268.296243008913
2025-02-26_16_02,1304.0974161708862
2025-01-19_46_15,1323.4291547632688
2025-02-24_35_46,2494.6250169883033
2025-02-19_45_28,2164.439984052359
2025-02-05_02_47,2005.4994724008561
2025-01-31_08_47,1227.1356414380723
2025-02-04_05_45,1586.5727919862784
2025-01-02_47_46,1954.2145384334574
2025-02-17_30_14,1524.1516022650871
2025-01-12_28_45,2653.883982854197
2025-01-11_11_36,1524.8093230984523
2025-01-25_45_48,1925.753477008005
2025-02-21_45_47,5834.296033900331
2025-01-19_08_47,4406.949285552841
2025-02-16_28_45,4089.2773638613626
2025-01-30_30_14,1278.576198659963
2025-01-19_44_46,8381.702002890966
2025-02-14_36_12,2372.3680696167353
2025-02-11_39_45,1285.0751190619987
2025-02-15_45_28,2989.406008298627
2025-01-08_04_29,1150.77856312801
2025-01-10_45_39,3622.627822681395
2025-01-22_02_21,1318.2591761197475
2025-02-07_36_11,3694.778936920267
2025-02-09_20_46,2224.160322324749
2025-02-07_45_47,5561.435903523243
2025-01-12_47_03,3025.3601039785362
2025-02-23_02_14,1451.9820692804176
2025-01-15_33_46,3030.568030296651
2025-02-25_02_47,1797.0988409188155
2025-01-08_06_47,1156.5058655243256
2025-01-17_45_48,2558.0729056623986
2025-01-10_46_48,10214.012600959368
2025-02-12_23_25,1677.5624666757572
2025-02-03_36_22,1255.0719597146513
2025-01-20_13_23,2376.365529858146
2025-02-19_02_24,1335.0730749627894
2025-01-12_03_45,1851.6941495124863
2025-01-04_46_15,1500.3479736659838
2025-02-09_46_26,1827.6197620492505
2025-02-20_46_48,3860.919346127807
2025-01-05_48_46,5678.416233976797
2025-02-08_05_45,1704.333045121252
2025-02-21_37_36,3330.0515785316525
2025-01-13_46_20,2592.717265256516
2025-01-02_31_02,2775.1143488674898
2025-02-04_19_32,2187.856849812154
2025-01-31_46_35,3436.732352709652
2025-02-14_43_47,2392.8182332642514
2025-02-28_45_34,2820.964779603158
2025-01-03_25_23,2126.0972646239857
2025-02-02_45_42,1818.7059998461032
2025-01-26_48_45,3012.2317681532704
2025-02-26_31_02,1982.190801255546
2025-02-13_21_02,1022.3989924779436
2025-01-24_21_02,1189.573353793317
2025-02-17_39_45,2308.255156217712
2025-01-12_32_19,2205.0130131174624
2025-01-07_27_36,1099.374125470394
2025-02-14_02_01,1695.8431637318024
2025-02-06_31_02,1516.9658217159604
2025-02-23_36_12,1911.2445536708533
2025-02-25_23_25,1191.8926428904635
2025-02-05_46_20,1202.8515608791838
2025-01-30_36_27,1033.9760962036473
2025-02-27_27_36,1592.3464487274944
2025-01-15_36_27,1251.4068472853814
2025-02-22_38_36,2013.7628198004954
2025-02-26_25_23,1372.3292173526202
2025-02-10_01_02,1445.2522656282185
2025-01-09_47_05,6029.533054228765
2025-02-10_47_06,1179.2203132276322
2025-01-26_25_23,3898.9464009413255
2025-01-15_46_26,1547.3218313197478
2025-02-09_11_36,4763.391162545176
2025-01-16_04_29,1100.9502469771676
2025-01-07_36_27,866.9856541530608
2025-02-04_02_24,1117.0447583890118
2025-02-03_45_44,897.0330749608104
2025-01-07_19_30,1503.7701077814877
2025-01-30_12_36,2040.0976728482106
2025-02-20_46_35,2430.6220359400527
2025-01-19_02_16,1583.6769678735807
2025-02-17_32_19,2368.870398483095
2025-01-08_46_47,1462.9436569794595
2025-01-31_41_36,3432.2609722272737
2025-02-02_46_15,1480.5911310043784
2025-01-12_02_16,1677.5159358611957
2025-02-05_04_29,1102.8065085317655
2025-01-12_44_46,3383.837688740589
2025-01-17_03_45,1848.8744566151222
2025-02-23_37_36,5313.084653777194
2025-01-21_25_23,1688.0380331007136
2025-01-09_15_46,890.8416851041775
2025-01-01_47_43,1625.3225307329656
2025-01-14_36_12,1296.4312777385283
2025-02-13_08_47,1253.0345725144607
2025-01-12_30_02,2327.1822138843627
2025-02-02_31_02,3339.116670896485
2025-01-21_47_05,1828.2920253505085
2025-01-09_48_46,2414.139650863652
2025-01-03_36_07,2291.9364531575366
2025-02-07_47_45,4568.724078610193
2025-01-27_46_35,1352.8616792111832
2025-02-22_26_46,1772.213807172855
2025-01-23_19_32,2266.889913307727
2025-02-18_16_02,1368.9157754010146
2025-02-09_37_36,6048.374534335178
2025-01-24_28_47,1285.5885214403304
2025-01-05_47_08,1927.8242198999399
2025-02-02_19_32,3084.148558792839
2025-01-28_45_48,1027.7891328939322
2025-01-30_45_44,1404.8297439137634
2025-02-12_09_45,2596.0293623391085
2025-01-24_20_46,1298.8428161713523
2025-01-16_42_45,1302.8860948958759
2025-01-12_36_07,1457.5268269553064
2025-02-09_08_47,2703.653845229257
2025-01-17_47_46,1831.9329244012445
2025-01-22_36_37,638.8428482736235
2025-01-07_47_43,3755.388054087142
2025-02-05_14_30,1646.4522152665738
2025-01-20_36_11,1766.2395617071443
2025-02-16_41_36,4042.9856156691285
2025-01-22_02_31,2121.540963773629
2025-01-23_48_45,1144.8294050851355
2025-01-23_02_14,1252.1773560730176
2025-01-21_09_45,3482.890956004671
2025-02-28_43_47,2465.312996644836
2025-02-19_02_19,1759.5137183201286
2025-02-22_44_45,1067.5779821982628
2025-01-04_38_36,1239.3565785317878
2025-02-17_45_46,3665.7699776486434
2025-01-16_39_45,1712.7970070946812
2025-01-04_02_47,1749.3124256193494
2025-01-14_02_30,1609.9382334629006
2025-02-03_09_45,4670.551334860517
2025-01-02_17_23,1166.0465447802633
2025-02-21_36_07,2247.17811579941
2025-01-02_02_16,1384.8659473711102
2025-01-07_40_02,1903.4633579523404
2025-02-06_46_48,5074.603162893766
2025-02-05_45_03,1444.114174738665
2025-02-10_02_14,1234.66339910705
2025-02-16_14_30,2598.606978114481
2025-01-16_19_30,1624.1784819395425
2025-01-28_03_47,1309.7290723725077
2025-02-12_19_02,1736.0066386362591
2025-02-11_27_36,1596.4970108750827
2025-02-09_46_20,1810.124053123612
2025-02-10_02_40,2428.4660875683535
2025-02-13_06_47,1480.697684854217
2025-01-23_42_45,1534.216611686249
2025-02-24_47_46,2145.0398412280956
2025-01-18_28_45,3118.2250732690263
2025-02-04_01_02,1374.9179549938212
2025-02-10_18_46,2545.547646727235
2025-02-04_09_46,3783.1934643488053
2025-02-20_05_45,1373.456669300047
2025-01-11_02_16,1551.319871999286
2025-01-14_47_03,1368.816983278752
2025-01-25_47_43,1630.6167116013992
2025-02-24_21_02,1374.1450754815069
2025-02-25_09_45,3185.111638109392
2025-01-21_28_47,1412.3705368868825
2025-01-12_46_44,5427.272381989539
2025-02-14_42_45,1555.3543174898937
2025-01-29_44_45,902.4687299795701
2025-02-26_05_47,2087.8502281900332
2025-01-19_26_46,2865.1877280984468
2025-01-20_06_47,2657.437476324936
2025-01-15_47_30,1625.721884267263
2025-02-08_36_37,5281.7665127757255
2025-01-12_36_11,1504.5771978312798
2025-01-13_46_45,4105.4346034023165
2025-01-16_48_45,2538.233153656877
2025-02-21_47_43,4013.867831792176
2025-01-14_04_29,1005.8538855541373
2025-02-24_47_03,1386.4720796552515
2025-01-20_39_45,2278.3287992183214
2025-02-01_45_39,2223.941289994956
2025-02-15_46_18,2279.8963108792077
2025-01-26_47_30,2081.406723067682
2025-01-22_17_23,1144.8328951308758
2025-02-26_44_46,1117.092905030555
2025-02-28_48_46,5182.735470075903
2025-01-10_02_14,1712.1978850272565
2025-02-16_47_06,1554.9282435504601
2025-01-18_46_18,1804.3535706450705
2025-01-31_06_47,1039.55449023359
2025-01-14_44_45,1803.4286398168729
2025-01-22_46_20,1004.9372279747865
2025-02-10_05_47,3314.389424556881
2025-02-24_30_14,1283.7256182690685
2025-01-07_36_07,1281.1281373725576
2025-02-14_13_23,2159.602291044101
2025-01-23_45_44,1135.8351982668803
2025-02-08_35_46,1629.0694332230883
2025-02-21_19_02,1906.872324408425
2025-02-28_45_39,3834.0223511434033
2025-01-12_15_46,1623.5314464021858
2025-02-26_47_05,3155.468851336854
2025-02-10_23_13,1546.5393320671444
2025-02-01_20_46,1567.7341308512218
2025-01-04_01_02,1176.7531489773658
2025-02-13_37_36,4143.220387602263
2025-01-23_45_42,1802.0984623104105
2025-01-24_02_19,2867.578611847104
2025-01-11_46_20,3306.237408648437
2025-02-18_05_47,2388.9163915748873
2025-01-05_46_20,1403.8948484614812
2025-02-03_40_02,2866.6763670026753
2025-01-07_02_31,1900.9895354255862
2025-01-14_27_36,1070.1471025826506
2025-02-02_40_02,3230.779680167372
2025-02-28_03_47,1313.3719742782048
2025-01-06_03_47,1443.7335467312766
2025-01-30_45_09,3387.4386962014382
2025-01-25_40_02,2650.2706627887073
2025-01-15_23_13,1280.673764283681
2025-01-19_48_46,9024.033028768692
2025-01-15_01_02,1228.759845522937
2025-01-24_02_47,2079.161717021117
2025-02-09_03_45,2125.8845616561907
2025-02-07_19_30,1398.6363137399078
2025-02-12_41_36,2543.7692465580094
2025-01-29_46_45,2853.506894113416
2025-02-17_47_08,1179.9611165451954
2025-02-10_47_10,1143.6683457249696
2025-01-31_36_22,1237.0002402626603
2025-02-04_26_46,1375.7788927489844
2025-01-22_46_15,1133.5851026908786
2025-01-19_05_45,4444.073573333811
2025-02-24_45_03,1228.6167762249058
2025-02-27_45_39,2400.2152868389308
2025-01-06_02_40,2036.599201257969
2025-01-26_02_16,1576.9670535898374
2025-01-19_36_41,2617.7115767345363
2025-02-16_02_40,3089.1466294476104
2025-01-01_45_05,1384.9701919036866
2025-01-08_41_36,2844.833060794634
2025-01-14_47_45,4590.22450285522
2025-01-17_11_36,1567.004598534935
2025-01-07_46_18,1265.590803906147
2025-02-14_45_28,4902.063414024364
2025-01-22_39_45,1158.9865952942787
2025-02-12_46_45,3551.075909848295
2025-01-22_14_30,1350.982283754993
2025-01-22_08_47,1264.5869111503814
2025-02-28_05_47,2362.7658801793227
2025-02-27_19_02,1523.4563271341085
2025-01-12_36_22,1259.571370373973
2025-01-18_05_47,6061.986565883554
2025-01-03_30_02,1853.2706121737467
2025-02-21_45_34,3600.0333392811312
2025-01-03_05_45,1666.5791995199318
2025-01-05_36_22,1772.3652454117248
2025-02-21_02_19,2783.9315136890505
2025-01-14_46_20,1641.9395760739621
2025-01-05_13_23,2406.894170112531
2025-01-22_35_46,1943.2291788212751
2025-02-10_38_36,1809.644021860983
2025-02-19_45_05,1676.1433379131272
2025-01-27_46_09,3133.1777754468135
2025-01-18_09_45,3763.9980802853634
2025-02-11_45_42,1602.0429883620293
2025-01-07_46_44,1780.551225690585
2025-01-16_02_21,1308.9082872267068
2025-01-22_46_18,1243.8371708102898
2025-01-20_47_28,1511.5913075796398
2025-01-07_45_03,1792.1178534736164
2025-01-15_32_19,2114.730119061082
2025-01-18_16_02,1463.6962660216616
2025-01-13_19_30,1727.8399732932291
2025-02-06_45_44,1524.9199210584702
2025-01-26_36_41,3692.6453151169667
2025-02-17_46_33,763.7574535160053
2025-01-23_08_47,1120.0503361611372
2025-01-04_36_41,3354.975165412725
2025-01-14_09_45,4146.0567688282545
2025-01-20_46_20,1079.1008608026916
2025-01-05_34_45,5178.635489070663
2025-01-21_02_30,1691.0749002325383
2025-02-07_02_30,3069.9129051919253
2025-01-09_05_45,1565.5199628343962
2025-01-27_46_45,4337.3851603513385
2025-02-11_36_22,1152.2500574036235
2025-01-30_44_45,907.0431171057525
2025-01-10_19_32,2727.0105370023107
2025-02-23_23_25,1618.2678682250448
2025-02-25_25_23,1559.1349909552544
2025-02-25_47_46,1917.639614875846
2025-02-09_47_06,1372.3222951887792
2025-01-21_46_20,1071.0614706143276
2025-01-17_02_14,1643.180263271559
2025-01-22_45_34,1545.7844867828371
2025-01-08_30_02,1448.7508861076255
2025-02-18_46_18,1182.3893811286564
2025-01-29_46_47,1254.7691445447679
2025-01-09_02_40,1695.7436595425886
2025-01-06_47_30,1726.7903055873865
2025-01-16_02_40,2012.1580475073952
2025-01-04_46_26,1724.1933848355914
2025-01-19_46_44,2932.425722158977
2025-02-06_46_47,1769.971135903903
2025-01-26_21_02,1770.5331261716797
2025-01-19_16_02,2017.186173365558
2025-01-13_09_45,3695.50426806064
2025-01-04_02_24,1262.62769434608
2025-02-24_45_48,1830.072432544938
2025-01-22_02_16,1205.073963254628
2025-02-16_02_14,1561.229454237653
2025-02-15_46_09,4928.966362024005
2025-02-17_02_19,1881.9027309908713
2025-01-13_46_33,2813.429039081496
2025-01-13_27_36,1149.945720895827
2025-02-25_03_47,1463.699184206296
2025-02-27_06_47,1180.3100126904862
2025-02-14_09_46,4357.24660517957
2025-02-15_36_41,3002.0599673411793
2025-01-24_36_12,2770.644160659365
2025-02-11_20_46,1981.634971437548
2025-01-18_47_43,2511.1262338814417
2025-01-18_48_45,2644.3675185951975
2025-01-05_36_27,993.5851070720867
2025-01-17_06_47,2653.885492571666
2025-02-22_05_45,1657.7370430465035
2025-01-30_45_46,5284.136894015323
2025-02-16_46_33,1389.8290003063773
2025-01-18_02_24,1274.5237021022058
2025-02-11_45_48,1270.2002552922493
2025-01-01_45_03,1450.4008859351734
2025-01-28_36_11,1432.688310419162
2025-02-18_19_30,1920.5736362509228
2025-02-06_09_45,2239.419925445502
2025-02-09_26_46,2685.1913623873043
2025-02-27_47_43,2324.7485495685714
2025-01-22_02_24,1100.1099581926283
2025-01-21_30_02,1825.6759494009177
2025-02-24_25_23,1781.6206417079813
2025-01-05_36_11,1509.7833998270135
2025-01-27_04_29,1072.3605689483225
2025-02-27_46_18,1821.3831102295435
2025-01-09_45_28,4375.05980025502
2025-01-03_36_37,269.6166524077302
2025-01-23_45_48,2099.2354073799447
2025-01-31_47_05,3502.236270546567
2025-02-09_06_47,2250.919456711243
2025-01-25_47_46,1719.6509895883564
2025-02-02_02_14,1567.2312833595133
2025-01-01_48_46,7609.984611101799
2025-02-04_11_36,2200.128663425729
2025-01-21_36_27,1033.7247215851812
2025-02-13_02_40,2711.6104091735774
2025-01-21_46_45,3566.6209989870927
2025-02-24_43_47,2316.5672350980717
2025-01-25_02_01,1376.6767283708493
2025-02-25_48_45,1321.19904679672
2025-01-26_47_46,1877.767626613425
2025-01-14_02_16,1183.0672868367653
2025-01-20_19_32,2534.643776103785
2025-02-13_23_25,1647.102126846778
2025-01-20_12_36,1930.3063908688207
2025-01-29_47_43,1465.8715676034167
2025-02-21_47_46,2535.228477795975
2025-02-03_37_36,5135.717213273901
2025-02-02_47_43,2338.7556792776095
2025-01-04_47_28,1932.772218414723
2025-02-18_36_37,4583.79781376755
2025-02-14_47_45,4740.8128987816945
2025-01-08_02_21,1245.4974789375972
2025-02-22_45_46,4147.414900343709
2025-02-06_30_14,1542.5295287345693
2025-02-16_47_43,2603.4646258933285
2025-01-16_23_25,1177.325758625912
2025-01-27_44_46,2101.619659574173
2025-01-07_05_47,1818.2254947409701
2025-02-14_45_03,2186.94949238979
2025-01-07_46_20,1138.6661041029374
2025-02-25_27_36,1601.412637415807
2025-01-31_47_43,2394.6399330725694
2025-01-23_34_45,1179.4980225997544
2025-02-15_44_45,1133.4712985775582
2025-01-28_02_16,1200.106960375066
2025-01-30_36_12,1652.7811507693923
2025-02-28_46_18,2732.0462743289654
2025-01-21_02_14,1122.1926213278266
2025-01-15_02_01,1281.4574533624825
2025-02-14_08_47,1537.0874173177954
2025-01-25_36_12,2345.7344303951577
2025-01-03_15_46,1603.492911971741
